Ch.,B,A,x0,y0,Ra,Dec,FWHMx,FWHMy,Mag,Beta,r,Angle,RMSE
0,0.0276329,0.281482,3130.45,2001.68,264.969,-32.2906,4.72349,4.34461,-0.986938,-1,0.919788,-84.9312,0.00286275
0,0.0266711,0.163343,3628.31,2131.23,265.11,-32.0136,7.45633,5.68308,-0.968237,-1,0.762183,-88.4448,0.00786608
0,0.0276559,0.23585,3261.65,2042.47,265.011,-32.2183,4.94574,4.54329,-0.932224,-1,0.918627,-87.9857,0.00266154
0,0.02725,0.1167,3375.81,1738.05,264.815,-32.1249,3.64119,3.63415,-0.909387,-1,0.998066,-18.2784,0.0160559
0,0.0273403,0.254561,2980.91,2169.47,265.068,-32.392,4.46916,4.46871,-0.906388,-1,0.9999,13.4266,0.00280437
0,0.0266918,0.16785,3067.52,2572.24,265.353,-32.3771,6.66325,6.11291,-0.884979,-1,0.917407,-84.9091,0.00747315
0,0.0284181,0.229794,3341.61,2120.56,265.073,-32.1789,4.82808,4.40146,-0.881698,-1,0.911638,-85.0483,0.00337118
0,0.0271939,0.234288,3098.88,2386.42,265.229,-32.3428,4.69601,4.2828,-0.860596,-1,0.912009,-85.1804,0.00241186
0,0.0289386,0.244711,3150.47,2003.96,264.973,-32.2792,4.38511,4.38357,-0.859772,-1,0.99965,-25.6233,0.0071082
0,0.0269313,0.212089,3655.76,1723.87,264.835,-31.9613,4.73424,4.36784,-0.818408,-1,0.922605,-88.2368,0.00219419
0,0.0272593,0.215734,3240.2,2081.56,265.035,-32.2342,4.47155,4.47137,-0.809111,-1,0.99996,-28.4398,0.00242497
0,0.0284416,0.245175,3376.95,2083.33,265.051,-32.1552,3.45285,2.85658,-0.806702,-1,0.827311,-13.1587,0.0129174
0,0.0270725,0.210146,3215.1,2317.56,265.194,-32.2695,4.49573,4.49573,-0.800224,-1,1,-4.66105,0.00241953
0,0.0269883,0.20862,3196.34,2059.76,265.016,-32.2577,4.7314,4.26685,-0.795608,-1,0.901816,-81.1821,0.00206837
