Ch.,B,A,x0,y0,Ra,Dec,FWHMx,FWHMy,Mag,Beta,r,Angle,RMSE
0,0.0289836,0.496078,3341.58,2120.52,265.073,-32.1789,4.98522,4.10158,-1.39132,-1,0.822747,83.4938,0.00501041
0,0.0278023,0.446788,3261.62,2042.42,265.011,-32.2183,4.94802,4.0863,-1.30192,-1,0.825844,82.7054,0.00344431
0,0.0306174,0.228161,3150.92,2003.98,264.973,-32.279,3.81572,3.79574,-1.28243,-1,0.994763,-20.064,0.0318328
0,0.0265258,0.220124,3572.53,1922.98,264.962,-32.0275,8.14603,8.09627,-1.28068,-1,0.993891,-54.6003,0.0215755
0,0.0274471,0.420371,3196.32,2059.74,265.016,-32.2577,4.93766,4.05748,-1.24939,-1,0.821743,84.4747,0.00323779
0,0.0274357,0.418633,3098.88,2386.38,265.229,-32.3428,4.46354,4.46337,-1.24223,-1,0.999963,-11.1259,0.00509034
0,0.02814,0.445755,3240.16,2081.5,265.035,-32.2342,4.20244,4.18367,-1.22089,-1,0.995534,9.09657,0.00593708
0,0.0283734,0.339357,2649.59,1927.9,264.868,-32.5618,3.69307,3.27331,-1.19873,-1,0.886338,-76.2256,0.0229375
0,0.0272039,0.359683,3188.92,2338.51,265.205,-32.2865,4.51592,4.51585,-1.14906,-1,0.999984,6.61416,0.00452977
0,0.0259689,0.254664,3664.08,2718.34,265.514,-32.0439,6.75683,5.6966,-1.14669,-1,0.843088,-19.3715,0.0124655
0,0.0270252,0.348683,3450.56,1887.58,264.925,-32.095,4.99954,4.17922,-1.14424,-1,0.83592,82.2122,0.0025458
0,0.0272536,0.369336,3200.9,2136.33,265.069,-32.2618,4.83319,3.99336,-1.12874,-1,0.826238,84.389,0.00291934
0,0.0269021,0.338908,3250.57,2067.81,265.027,-32.227,5.01859,4.13735,-1.11985,-1,0.824406,82.1029,0.00225534
0,0.0277082,0.255126,3130.76,2246.38,265.136,-32.3121,3.71429,3.59803,-1.10122,-1,0.968702,-79.9348,0.0166384
0,0.0272832,0.347686,3103.85,1915.78,264.908,-32.2983,4.87807,4.03721,-1.10104,-1,0.827626,86.1343,0.00260781
0,0.0277874,0.283355,3198.68,2291.11,265.174,-32.2767,3.28075,3.19166,-1.06369,-1,0.972846,-77.9966,0.0173949
0,0.0269713,0.338281,2889.95,2139.76,265.038,-32.4419,4.86143,3.91854,-1.05934,-1,0.806048,84.0202,0.00262506
0,0.0269094,0.310618,3401.02,2695.59,265.471,-32.1946,5.05027,4.74459,-1.05499,-1,0.939473,-4.03114,0.0060949
0,0.0268089,0.291301,3375.64,1773.62,264.84,-32.1282,4.89867,4.1168,-0.997847,-1,0.84039,83.9017,0.00211641
0,0.0267903,0.281523,3155.85,2366.56,265.221,-32.3081,4.51432,4.51432,-0.982454,-1,0.999999,-31.7852,0.00350313
0,0.0270853,0.197899,3269.66,2024.48,264.999,-32.2121,7.21401,6.99015,-0.978945,-1,0.968968,-5.24234,0.0139436
0,0.0270197,0.263079,3285.63,2125.49,265.07,-32.2118,4.96329,4.12076,-0.94153,-1,0.830247,80.7893,0.00224228
0,0.0266407,0.246742,3516.74,2344.63,265.244,-32.0971,5.03359,4.14237,-0.913596,-1,0.822945,87.2018,0.00193321
0,0.0267067,0.299461,2709.18,2006.04,264.928,-32.5344,4.14111,4.14102,-0.912564,-1,0.999979,1.74367,0.00291249
0,0.0266322,0.251723,2952.59,2024.75,264.966,-32.3955,4.92639,4.10482,-0.907096,-1,0.833231,83.4913,0.00184501
0,0.0264512,0.251682,3448.81,2155.74,265.108,-32.1199,4.92795,4.09209,-0.905266,-1,0.830384,85.582,0.00184769
0,0.0246152,0.074258,3226.26,2510.04,265.326,-32.2799,10.8055,6.39645,-0.89579,-1,0.59196,3.16246,0.00855706
0,0.0264129,0.231978,3317.54,2183.78,265.113,-32.1985,5.04697,4.13926,-0.877099,-1,0.820148,85.1736,0.00157107
0,0.0267066,0.251716,2883.8,2054.9,264.98,-32.4379,4.73388,3.92798,-0.856353,-1,0.82976,87.7859,0.00170182
0,0.026711,0.229163,3276.93,2083.65,265.041,-32.2131,4.48451,4.39508,-0.83543,-1,0.980058,78.0622,0.00253108
0,0.0265571,0.217601,3268.61,2254.61,265.156,-32.233,5.04741,4.111,-0.835225,-1,0.814477,82.367,0.00167893
0,0.0265357,0.226345,3202.91,2670.7,265.434,-32.3073,4.45604,4.45601,-0.832594,-1,0.999993,-38.4191,0.00284366
0,0.0278286,0.195508,3377.52,1751.91,264.825,-32.1252,3.43211,3.05004,-0.797444,-1,0.888676,-78.3308,0.0136894
0,0.0264029,0.21169,3349,2618.13,265.413,-32.2181,4.22784,3.74861,-0.783742,-1,0.886649,89.3111,0.0032828
0,0.0263611,0.12689,3487.03,2806.04,265.556,-32.1542,3.55933,3.36572,-0.776677,-1,0.945603,-70.8701,0.0132694
0,0.0249303,0.079226,2962.09,1938.69,264.908,-32.3823,8.88271,5.7546,-0.754659,-1,0.647843,-1.23858,0.00622532
0,0.0263578,0.198707,2668.77,2229.38,265.076,-32.5775,4.78312,4.0546,-0.746432,-1,0.847691,85.4773,0.00156309
0,0.0265515,0.172096,3503.24,2407.78,265.285,-32.1105,3.22113,3.21665,-0.732053,-1,0.998609,-88.6964,0.0108554
