# 2000 stars found using the following parameters:
# sigma=1.00 roundness=0.50 radius=5 relax=0 profile=0 minbeta=1.5 max_stars=2000 layer=0 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Profile	RA	Dec
43	0	  0.030125	  0.923955	     -1.00	   3235.51	   3633.61	      2.01	      1.87	      4.22	      3.93	77.14	 6.182e-03	     -1.73	Gaussian	0.000000	0.000000
44	0	  0.029861	  0.898680	     -1.00	   3325.89	   2205.51	      1.95	      1.95	      4.10	      4.10	19.31	 7.128e-03	     -1.72	Gaussian	0.000000	0.000000
45	0	  0.030667	  0.687431	     -1.00	   2162.80	   2761.54	      2.96	      2.79	      6.21	      5.87	28.36	 3.354e-02	     -1.71	Gaussian	0.000000	0.000000
46	0	  0.029818	  0.903973	     -1.00	   3109.55	   1001.74	      1.94	      1.89	      4.08	      3.97	66.17	 6.107e-03	     -1.69	Gaussian	0.000000	0.000000
47	0	  0.031069	  0.729989	     -1.00	    835.33	   2876.70	      2.13	      2.13	      4.47	      4.47	-89.40	 8.251e-03	     -1.69	Gaussian	0.000000	0.000000
48	0	  0.030273	  0.618120	     -1.00	   3239.18	   3381.57	      3.10	      2.59	      6.52	      5.43	4.19	 3.223e-02	     -1.68	Gaussian	0.000000	0.000000
49	0	  0.029773	  0.891841	     -1.00	   3094.52	   2117.94	      2.00	      1.83	      4.19	      3.85	-87.42	 6.268e-03	     -1.68	Gaussian	0.000000	0.000000
50	0	  0.030128	  0.802748	     -1.00	   5536.32	   3721.68	      2.20	      1.84	      4.62	      3.86	54.76	 7.264e-03	     -1.67	Gaussian	0.000000	0.000000
51	0	  0.023719	  0.298984	     -1.00	   4264.36	   2953.32	      4.54	      2.43	      9.54	      5.10	76.16	 2.399e-02	     -1.65	Gaussian	0.000000	0.000000
52	0	  0.025197	  0.379368	     -1.00	   3051.39	   2068.52	      3.74	      2.27	      7.86	      4.77	56.86	 2.278e-02	     -1.65	Gaussian	0.000000	0.000000
53	0	  0.025771	  0.318719	     -1.00	   3564.35	   1939.20	      4.35	      4.17	      9.14	      8.77	7.84	 4.036e-02	     -1.64	Gaussian	0.000000	0.000000
54	0	  0.028970	  0.576160	     -1.00	   3335.16	   1974.51	      2.62	      2.28	      5.51	      4.80	10.23	 1.836e-02	     -1.63	Gaussian	0.000000	0.000000
55	0	  0.029324	  0.829091	     -1.00	   3419.23	   2364.68	      1.94	      1.85	      4.08	      3.88	-88.84	 5.894e-03	     -1.60	Gaussian	0.000000	0.000000
56	0	  0.031584	  0.602637	     -1.00	    973.70	    902.29	      1.94	      1.88	      4.08	      3.95	-2.10	 1.711e-02	     -1.59	Gaussian	0.000000	0.000000
57	0	  0.029708	  0.767911	     -1.00	   2249.10	    840.06	      2.01	      1.89	      4.22	      3.96	35.57	 6.069e-03	     -1.58	Gaussian	0.000000	0.000000
58	0	  0.030071	  0.538400	     -1.00	   5667.28	   3726.39	      3.31	      2.41	      6.97	      5.06	12.64	 2.535e-02	     -1.58	Gaussian	0.000000	0.000000
59	0	  0.029911	  0.524048	     -1.00	     69.21	   2036.58	      2.35	      2.35	      4.93	      4.93	72.02	 8.229e-03	     -1.57	Gaussian	0.000000	0.000000
60	0	  0.031400	  0.263729	     -1.00	    894.30	   1015.25	      4.35	      3.35	      9.15	      7.03	73.71	 2.865e-02	     -1.57	Gaussian	0.000000	0.000000
61	0	  0.029234	  0.689854	     -1.00	   5963.84	   2596.31	      2.23	      1.85	      4.69	      3.89	54.27	 6.083e-03	     -1.57	Gaussian	0.000000	0.000000
62	0	  0.029116	  0.770446	     -1.00	   3352.01	   2253.93	      2.01	      1.84	      4.23	      3.86	-89.40	 5.497e-03	     -1.57	Gaussian	0.000000	0.000000
63	0	  0.024299	  0.262723	     -1.00	   2349.36	   2836.35	      4.39	      2.55	      9.22	      5.37	55.05	 2.100e-02	     -1.54	Gaussian	0.000000	0.000000
64	0	  0.028732	  0.616049	     -1.00	   3014.25	   1886.61	      2.26	      1.94	      4.76	      4.07	-65.02	 4.206e-03	     -1.52	Gaussian	0.000000	0.000000
65	0	  0.028971	  0.460464	     -1.00	    497.49	    502.56	      2.68	      2.14	      5.62	      4.51	9.08	 6.355e-03	     -1.50	Gaussian	0.000000	0.000000
66	0	  0.024169	  0.256114	     -1.00	   4200.22	    747.22	      4.38	      2.47	      9.21	      5.20	70.94	 1.973e-02	     -1.48	Gaussian	0.000000	0.000000
67	0	  0.028560	  0.529061	     -1.00	   3224.38	   2449.47	      2.70	      2.08	      5.67	      4.37	58.76	 1.189e-02	     -1.48	Gaussian	0.000000	0.000000
68	0	  0.035458	  0.296627	     -1.00	   3282.26	   2291.06	      1.34	      1.03	      2.81	      2.17	11.15	 5.755e-02	     -1.47	Gaussian	0.000000	0.000000
69	0	  0.026663	  0.481455	     -1.00	   2740.50	   1625.07	      2.74	      2.23	      5.76	      4.69	57.45	 1.367e-02	     -1.46	Gaussian	0.000000	0.000000
70	0	  0.029416	  0.340917	     -1.00	   5903.13	    194.03	      3.48	      3.48	      7.31	      7.31	75.55	 2.663e-02	     -1.45	Gaussian	0.000000	0.000000
71	0	  0.028550	  0.675631	     -1.00	   4842.89	   2505.21	      2.00	      1.81	      4.21	      3.81	69.31	 4.897e-03	     -1.44	Gaussian	0.000000	0.000000
72	0	  0.027869	  0.439689	     -1.00	   3255.38	   1834.40	      3.83	      2.47	      8.06	      5.19	1.75	 2.917e-02	     -1.44	Gaussian	0.000000	0.000000
73	0	  0.028924	  0.631538	     -1.00	   3020.26	     78.68	      2.10	      1.83	      4.41	      3.85	40.28	 5.218e-03	     -1.44	Gaussian	0.000000	0.000000
74	0	  0.027972	  0.292365	     -1.00	   1397.94	   1510.33	      3.27	      3.18	      6.87	      6.68	70.18	 2.046e-02	     -1.42	Gaussian	0.000000	0.000000
75	0	  0.029650	  0.599339	     -1.00	   3681.31	    259.98	      2.10	      1.89	      4.41	      3.98	35.10	 2.228e-02	     -1.42	Gaussian	0.000000	0.000000
76	0	  0.028745	  0.570069	     -1.00	   6330.03	   1829.74	      2.26	      1.84	      4.75	      3.87	46.87	 5.871e-03	     -1.42	Gaussian	0.000000	0.000000
77	0	  0.028471	  0.628313	     -1.00	   3110.98	   1932.95	      1.99	      1.83	      4.17	      3.85	-85.57	 4.480e-03	     -1.39	Gaussian	0.000000	0.000000
78	0	  0.028348	  0.492654	     -1.00	   3362.80	   3726.49	      2.86	      2.38	      6.02	      4.99	63.71	 1.755e-02	     -1.38	Gaussian	0.000000	0.000000
79	0	  0.028838	  0.493514	     -1.00	   1450.38	    309.02	      2.36	      1.95	      4.96	      4.09	21.34	 5.258e-03	     -1.38	Gaussian	0.000000	0.000000
80	0	  0.028962	  0.545674	     -1.00	   1453.89	    806.78	      2.20	      1.87	      4.63	      3.94	18.74	 5.264e-03	     -1.38	Gaussian	0.000000	0.000000
81	0	  0.026303	  0.291267	     -1.00	   3664.59	   2718.71	      3.69	      3.55	      7.76	      7.47	9.22	 2.552e-02	     -1.37	Gaussian	0.000000	0.000000
82	0	  0.027395	  0.354848	     -1.00	   3119.75	   2187.08	      3.00	      2.99	      6.30	      6.29	83.72	 1.885e-02	     -1.36	Gaussian	0.000000	0.000000
83	0	  0.028472	  0.619545	     -1.00	   3177.66	   1097.95	      1.92	      1.82	      4.04	      3.82	79.42	 4.427e-03	     -1.34	Gaussian	0.000000	0.000000
84	0	  0.025826	  0.243898	     -1.00	   4057.01	   1627.35	      4.16	      4.15	      8.73	      8.72	80.62	 2.825e-02	     -1.34	Gaussian	0.000000	0.000000
85	0	  0.027814	  0.244926	     -1.00	   2482.25	   1580.11	      1.56	      1.54	      3.29	      3.24	29.30	 3.710e-02	     -1.33	Gaussian	0.000000	0.000000
86	0	  0.028037	  0.228736	     -1.00	    133.73	   3331.59	      1.93	      1.92	      4.06	      4.04	83.68	 1.915e-02	     -1.32	Gaussian	0.000000	0.000000
87	0	  0.025978	  0.344277	     -1.00	   5496.16	   1551.44	      3.02	      2.24	      6.35	      4.70	49.17	 1.076e-02	     -1.30	Gaussian	0.000000	0.000000
88	0	  0.024773	  0.223348	     -1.00	   5655.32	    611.40	      3.79	      2.62	      7.96	      5.51	66.69	 1.230e-02	     -1.29	Gaussian	0.000000	0.000000
89	0	  0.029649	  0.548867	     -1.00	   3146.43	   2142.75	      1.96	      1.85	      4.12	      3.88	-88.65	 6.789e-03	     -1.28	Gaussian	0.000000	0.000000
90	0	  0.027407	  0.208371	     -1.00	   1070.00	   3545.26	      3.78	      3.43	      7.95	      7.21	79.32	 1.741e-02	     -1.28	Gaussian	0.000000	0.000000
91	0	  0.027440	  0.352853	     -1.00	   3530.33	   1393.51	      3.31	      2.54	      6.95	      5.34	5.94	 1.971e-02	     -1.28	Gaussian	0.000000	0.000000
92	0	  0.027673	  0.388823	     -1.00	   3365.06	   1010.54	      2.56	      2.26	      5.39	      4.75	6.90	 1.161e-02	     -1.28	Gaussian	0.000000	0.000000
93	0	  0.028102	  0.501935	     -1.00	   1799.94	   1332.45	      2.06	      1.90	      4.34	      4.00	30.83	 3.796e-03	     -1.27	Gaussian	0.000000	0.000000
94	0	  0.026790	  0.209150	     -1.00	    881.09	   1000.85	      3.90	      3.50	      8.21	      7.36	6.20	 1.505e-02	     -1.27	Gaussian	0.000000	0.000000
95	0	  0.027976	  0.495853	     -1.00	   5434.29	   3675.81	      2.16	      1.83	      4.54	      3.85	54.80	 4.359e-03	     -1.27	Gaussian	0.000000	0.000000
96	0	  0.027988	  0.525177	     -1.00	   3050.64	   3993.61	      2.01	      1.86	      4.22	      3.90	80.54	 3.653e-03	     -1.27	Gaussian	0.000000	0.000000
97	0	  0.027827	  0.522408	     -1.00	   4844.05	   3217.91	      2.01	      1.81	      4.21	      3.81	67.30	 4.129e-03	     -1.25	Gaussian	0.000000	0.000000
98	0	  0.028702	  0.285288	     -1.00	   3386.46	   2337.90	      1.38	      1.37	      2.90	      2.89	24.06	 3.057e-02	     -1.23	Gaussian	0.000000	0.000000
99	0	  0.027475	  0.225744	     -1.00	   3676.12	   3079.14	      1.63	      1.59	      3.42	      3.33	62.90	 3.025e-02	     -1.22	Gaussian	0.000000	0.000000
100	0	  0.025646	  0.409248	     -1.00	   3271.33	   4259.76	      1.56	      1.35	      3.28	      2.84	26.96	 2.364e-02	     -1.22	Gaussian	0.000000	0.000000
101	0	  0.027913	  0.522042	     -1.00	   2688.82	    950.71	      1.93	      1.81	      4.05	      3.81	54.69	 3.626e-03	     -1.22	Gaussian	0.000000	0.000000
102	0	  0.027868	  0.434950	     -1.00	   1929.97	    455.34	      2.22	      1.88	      4.67	      3.96	32.24	 3.769e-03	     -1.22	Gaussian	0.000000	0.000000
103	0	  0.026679	  0.170969	     -1.00	   2732.58	   2467.02	      4.70	      4.70	      9.89	      9.88	87.80	 2.740e-02	     -1.21	Gaussian	0.000000	0.000000
104	0	  0.028245	  0.506741	     -1.00	   3574.73	   2630.80	      1.96	      1.81	      4.11	      3.80	88.44	 3.997e-03	     -1.20	Gaussian	0.000000	0.000000
105	0	  0.028025	  0.510139	     -1.00	   2139.92	   3181.89	      1.91	      1.83	      4.01	      3.85	-80.86	 3.750e-03	     -1.20	Gaussian	0.000000	0.000000
106	0	  0.027721	  0.235400	     -1.00	   2274.09	     83.23	      3.60	      3.58	      7.57	      7.53	75.42	 2.014e-02	     -1.20	Gaussian	0.000000	0.000000
107	0	  0.027621	  0.494586	     -1.00	   4518.89	    801.60	      1.97	      1.82	      4.14	      3.82	53.63	 3.615e-03	     -1.19	Gaussian	0.000000	0.000000
108	0	  0.028014	  0.428154	     -1.00	   1718.18	   3938.97	      2.09	      1.96	      4.39	      4.12	-53.33	 3.909e-03	     -1.19	Gaussian	0.000000	0.000000
109	0	  0.029040	  0.358440	     -1.00	   2761.37	   2242.84	      1.77	      1.60	      3.72	      3.36	76.27	 1.983e-02	     -1.19	Gaussian	0.000000	0.000000
110	0	  0.027571	  0.337938	     -1.00	    574.13	    781.94	      2.50	      2.07	      5.25	      4.35	9.77	 4.281e-03	     -1.19	Gaussian	0.000000	0.000000
111	0	  0.027734	  0.446893	     -1.00	   1615.63	   3248.64	      1.97	      1.97	      4.15	      4.15	87.30	 3.360e-03	     -1.18	Gaussian	0.000000	0.000000
112	0	  0.027668	  0.482904	     -1.00	   4392.74	   3247.65	      1.98	      1.81	      4.17	      3.81	67.55	 3.515e-03	     -1.18	Gaussian	0.000000	0.000000
113	0	  0.027467	  0.446642	     -1.00	   5606.12	   1431.05	      2.10	      1.85	      4.42	      3.88	50.71	 3.910e-03	     -1.18	Gaussian	0.000000	0.000000
114	0	  0.027547	  0.323617	     -1.00	    486.73	    680.52	      2.31	      2.31	      4.86	      4.86	55.72	 5.031e-03	     -1.18	Gaussian	0.000000	0.000000
115	0	  0.027868	  0.387336	     -1.00	    994.54	   1690.98	      2.26	      1.97	      4.76	      4.14	13.95	 4.046e-03	     -1.18	Gaussian	0.000000	0.000000
116	0	  0.027983	  0.390114	     -1.00	   1683.73	   4182.49	      2.15	      2.03	      4.53	      4.26	-45.91	 3.718e-03	     -1.17	Gaussian	0.000000	0.000000
117	0	  0.027668	  0.403163	     -1.00	   1431.36	   1578.69	      2.23	      1.89	      4.68	      3.98	16.95	 3.289e-03	     -1.17	Gaussian	0.000000	0.000000
118	0	  0.027869	  0.276000	     -1.00	     26.40	   3816.86	      2.59	      2.37	      5.45	      4.98	4.29	 4.460e-03	     -1.16	Gaussian	0.000000	0.000000
119	0	  0.027562	  0.304926	     -1.00	    195.81	   1128.45	      2.35	      2.35	      4.95	      4.95	69.46	 4.770e-03	     -1.16	Gaussian	0.000000	0.000000
120	0	  0.026056	  0.185780	     -1.00	   3763.02	    554.41	      4.00	      3.94	      8.42	      8.29	71.36	 2.029e-02	     -1.16	Gaussian	0.000000	0.000000
121	0	  0.027705	  0.461967	     -1.00	   3130.44	   2001.66	      1.97	      1.85	      4.13	      3.88	-85.65	 3.172e-03	     -1.16	Gaussian	0.000000	0.000000
122	0	  0.026422	  0.266882	     -1.00	   3375.22	   1737.74	      3.44	      2.40	      7.23	      5.05	26.51	 1.440e-02	     -1.15	Gaussian	0.000000	0.000000
123	0	  0.027607	  0.476071	     -1.00	   2901.88	   3394.82	      1.92	      1.80	      4.03	      3.79	78.46	 3.335e-03	     -1.14	Gaussian	0.000000	0.000000
124	0	  0.027075	  0.258438	     -1.00	   5735.77	   2096.52	      3.11	      2.96	      6.55	      6.21	76.16	 1.476e-02	     -1.14	Gaussian	0.000000	0.000000
125	0	  0.026203	  0.236520	     -1.00	   3146.31	     33.30	      3.25	      2.66	      6.83	      5.60	76.30	 1.166e-02	     -1.14	Gaussian	0.000000	0.000000
126	0	  0.027099	  0.252968	     -1.00	    363.12	   3341.38	      2.81	      2.56	      5.90	      5.38	77.66	 5.739e-03	     -1.14	Gaussian	0.000000	0.000000
127	0	  0.027673	  0.376317	     -1.00	   1106.78	   1227.81	      2.24	      1.92	      4.71	      4.03	15.27	 3.720e-03	     -1.13	Gaussian	0.000000	0.000000
128	0	  0.026387	  0.220697	     -1.00	   2183.65	   2985.51	      3.57	      3.30	      7.50	      6.94	78.80	 1.656e-02	     -1.12	Gaussian	0.000000	0.000000
129	0	  0.025856	  0.247584	     -1.00	   3240.12	   2081.52	      3.18	      2.50	      6.69	      5.26	24.51	 1.129e-02	     -1.12	Gaussian	0.000000	0.000000
130	0	  0.027391	  0.303448	     -1.00	   3377.05	   2083.62	      2.76	      2.33	      5.81	      4.90	6.87	 1.031e-02	     -1.11	Gaussian	0.000000	0.000000
131	0	  0.027307	  0.330695	     -1.00	    687.02	   1579.70	      2.36	      1.99	      4.97	      4.18	10.64	 3.533e-03	     -1.10	Gaussian	0.000000	0.000000
132	0	  0.025505	  0.257150	     -1.00	   5117.09	   1268.44	      3.00	      2.36	      6.31	      4.97	36.52	 9.076e-03	     -1.10	Gaussian	0.000000	0.000000
133	0	  0.027318	  0.393247	     -1.00	   3628.13	   2131.10	      2.03	      1.87	      4.27	      3.93	89.74	 2.755e-03	     -1.08	Gaussian	0.000000	0.000000
134	0	  0.027587	  0.361988	     -1.00	   1636.52	   3904.79	      2.07	      1.98	      4.35	      4.16	-43.15	 3.332e-03	     -1.07	Gaussian	0.000000	0.000000
135	0	  0.027030	  0.211898	     -1.00	   1272.73	   3147.47	      3.14	      3.08	      6.60	      6.47	84.92	 1.240e-02	     -1.07	Gaussian	0.000000	0.000000
136	0	  0.027194	  0.413760	     -1.00	   5112.01	   2214.78	      1.98	      1.80	      4.17	      3.78	56.39	 3.022e-03	     -1.07	Gaussian	0.000000	0.000000
137	0	  0.027331	  0.272854	     -1.00	   4070.16	   3487.53	      3.01	      2.53	      6.33	      5.32	4.17	 1.282e-02	     -1.07	Gaussian	0.000000	0.000000
138	0	  0.027422	  0.404511	     -1.00	   2980.90	   2169.46	      2.00	      1.81	      4.20	      3.81	-83.91	 2.776e-03	     -1.06	Gaussian	0.000000	0.000000
139	0	  0.027460	  0.274958	     -1.00	   1487.25	   3979.02	      2.63	      2.49	      5.53	      5.23	-88.71	 6.874e-03	     -1.06	Gaussian	0.000000	0.000000
140	0	  0.027514	  0.393695	     -1.00	   1670.08	   2182.04	      1.97	      1.89	      4.14	      3.97	7.51	 3.172e-03	     -1.06	Gaussian	0.000000	0.000000
141	0	  0.027371	  0.310823	     -1.00	   2843.36	   1558.63	      3.27	      1.80	      6.88	      3.77	-23.67	 1.318e-02	     -1.06	Gaussian	0.000000	0.000000
142	0	  0.026769	  0.270100	     -1.00	   4399.26	   1433.48	      3.51	      2.61	      7.38	      5.48	4.88	 1.633e-02	     -1.06	Gaussian	0.000000	0.000000
143	0	  0.027340	  0.413593	     -1.00	   3501.00	   3048.79	      1.92	      1.82	      4.04	      3.83	86.68	 3.039e-03	     -1.05	Gaussian	0.000000	0.000000
144	0	  0.027209	  0.384765	     -1.00	   2709.17	   2006.15	      1.93	      1.93	      4.05	      4.05	-3.94	 3.007e-03	     -1.04	Gaussian	0.000000	0.000000
145	0	  0.027953	  0.256670	     -1.00	   2260.68	   2752.98	      1.70	      1.54	      3.57	      3.23	69.48	 2.055e-02	     -1.04	Gaussian	0.000000	0.000000
146	0	  0.027070	  0.381042	     -1.00	   5306.74	    958.81	      2.05	      1.81	      4.30	      3.80	44.59	 3.131e-03	     -1.04	Gaussian	0.000000	0.000000
147	0	  0.028873	  0.241504	     -1.00	   3150.49	   2004.01	      2.98	      2.77	      6.27	      5.83	29.38	 1.489e-02	     -1.03	Gaussian	0.000000	0.000000
148	0	  0.027252	  0.374667	     -1.00	   3846.98	   2050.98	      2.02	      1.84	      4.25	      3.86	-85.89	 2.696e-03	     -1.03	Gaussian	0.000000	0.000000
149	0	  0.027075	  0.260523	     -1.00	   3812.42	   2060.25	      3.28	      2.56	      6.89	      5.38	40.00	 1.221e-02	     -1.03	Gaussian	0.000000	0.000000
150	0	  0.027386	  0.314054	     -1.00	   3261.68	   2042.52	      2.56	      2.23	      5.37	      4.69	67.42	 7.044e-03	     -1.03	Gaussian	0.000000	0.000000
151	0	  0.026504	  0.247423	     -1.00	   5374.47	   2333.18	      3.04	      2.52	      6.39	      5.29	73.54	 1.002e-02	     -1.02	Gaussian	0.000000	0.000000
152	0	  0.026755	  0.223110	     -1.00	    538.70	    312.07	      3.11	      3.02	      6.54	      6.35	79.95	 8.325e-03	     -1.02	Gaussian	0.000000	0.000000
153	0	  0.027465	  0.337903	     -1.00	   2649.49	   1927.61	      2.51	      2.25	      5.28	      4.73	65.83	 8.223e-03	     -1.02	Gaussian	0.000000	0.000000
154	0	  0.027699	  0.338565	     -1.00	   2516.49	   4076.50	      2.69	      2.48	      5.65	      5.22	52.29	 1.104e-02	     -1.02	Gaussian	0.000000	0.000000
155	0	  0.026924	  0.300485	     -1.00	    796.84	   3004.75	      2.14	      2.14	      4.49	      4.49	56.74	 3.480e-03	     -1.02	Gaussian	0.000000	0.000000
