# 2000 stars found using the following parameters:
# sigma=1.00 roundness=0.50 radius=5 relax=0 profile=0 minbeta=1.5 max_stars=2000 layer=0 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Profile	RA	Dec
1	0	  0.045811	  1.281770	     -1.00	   2345.83	    228.69	      5.73	      4.70	     12.04	      9.88	38.00	 2.494e-02	     -3.99	Gaussian	0.000000	0.000000
2	0	  0.040732	  1.656210	     -1.00	   3325.26	   2371.63	      4.04	      3.82	      8.48	      8.03	62.20	 1.923e-02	     -3.58	Gaussian	0.000000	0.000000
3	0	  0.041183	  1.154679	     -1.00	   1189.76	   3061.67	      4.39	      3.83	      9.23	      8.05	-2.19	 2.529e-02	     -3.40	Gaussian	0.000000	0.000000
4	0	  0.038325	  1.164254	     -1.00	   2019.77	   3347.67	      3.72	      3.72	      7.83	      7.83	-86.01	 2.319e-02	     -3.21	Gaussian	0.000000	0.000000
5	0	  0.035273	  1.201563	     -1.00	   3295.46	   2025.27	      3.77	      3.55	      7.93	      7.47	79.39	 2.472e-02	     -3.21	Gaussian	0.000000	0.000000
6	0	  0.036309	  1.161225	     -1.00	   3246.04	    917.01	      3.46	      3.25	      7.28	      6.84	50.98	 2.306e-02	     -3.00	Gaussian	0.000000	0.000000
7	0	  0.037216	  1.161571	     -1.00	   2704.07	   3418.78	      3.40	      3.26	      7.15	      6.84	79.09	 2.151e-02	     -2.98	Gaussian	0.000000	0.000000
8	0	  0.034571	  1.178294	     -1.00	   3072.39	   1916.62	      3.27	      3.07	      6.88	      6.45	85.70	 2.051e-02	     -2.90	Gaussian	0.000000	0.000000
9	0	  0.034071	  1.166936	     -1.00	   3410.92	   2265.95	      3.30	      3.02	      6.94	      6.35	89.30	 1.979e-02	     -2.88	Gaussian	0.000000	0.000000
10	0	  0.034302	  1.182386	     -1.00	   3210.70	   2099.70	      3.22	      3.05	      6.77	      6.41	80.12	 2.026e-02	     -2.88	Gaussian	0.000000	0.000000
11	0	  0.021275	  1.189458	     -1.00	   3543.70	      8.02	      3.34	      2.74	      7.02	      5.77	33.61	 3.384e-02	     -2.81	Gaussian	0.000000	0.000000
12	0	  0.038331	  1.088532	     -1.00	    186.36	   3043.40	      3.34	      2.84	      7.02	      5.97	0.99	 1.958e-02	     -2.76	Gaussian	0.000000	0.000000
13	0	  0.037244	  1.039016	     -1.00	    279.33	   3784.65	      3.09	      2.78	      6.50	      5.84	-2.80	 1.810e-02	     -2.61	Gaussian	0.000000	0.000000
14	0	  0.032329	  1.140765	     -1.00	   2872.66	   2916.86	      2.82	      2.59	      5.92	      5.45	84.34	 1.517e-02	     -2.55	Gaussian	0.000000	0.000000
15	0	  0.032916	  1.150147	     -1.00	   2059.76	   1580.90	      2.70	      2.55	      5.68	      5.36	43.82	 1.321e-02	     -2.50	Gaussian	0.000000	0.000000
16	0	  0.031460	  1.144637	     -1.00	   3533.77	   2580.92	      2.72	      2.47	      5.72	      5.19	84.94	 1.168e-02	     -2.47	Gaussian	0.000000	0.000000
17	0	  0.032501	  1.132495	     -1.00	   2884.01	   2078.35	      2.53	      2.32	      5.32	      4.88	-89.79	 1.033e-02	     -2.33	Gaussian	0.000000	0.000000
18	0	  0.031116	  0.518442	     -1.00	   2250.03	   3526.24	      4.53	      3.74	      9.52	      7.86	76.22	 6.418e-02	     -2.24	Gaussian	0.000000	0.000000
19	0	  0.030666	  1.100384	     -1.00	   3365.59	   2021.98	      2.43	      2.22	      5.10	      4.67	86.04	 7.965e-03	     -2.22	Gaussian	0.000000	0.000000
20	0	  0.032405	  1.075602	     -1.00	   2385.82	   2345.80	      2.32	      2.32	      4.88	      4.88	-44.52	 1.894e-02	     -2.20	Gaussian	0.000000	0.000000
21	0	  0.034321	  0.971393	     -1.00	    349.72	   2897.85	      2.54	      2.21	      5.35	      4.64	-1.76	 1.270e-02	     -2.14	Gaussian	0.000000	0.000000
22	0	  0.032379	  1.102932	     -1.00	   1776.68	   1753.13	      2.30	      2.12	      4.84	      4.45	25.11	 9.246e-03	     -2.13	Gaussian	0.000000	0.000000
23	0	  0.031727	  1.129118	     -1.00	   2276.85	   2523.93	      2.23	      2.09	      4.69	      4.38	88.21	 8.111e-03	     -2.11	Gaussian	0.000000	0.000000
24	0	  0.029841	  0.697817	     -1.00	   3067.46	   2116.02	      3.43	      3.37	      7.20	      7.09	88.72	 5.054e-02	     -2.09	Gaussian	0.000000	0.000000
25	0	  0.031460	  0.978437	     -1.00	   3428.55	   3274.10	      2.95	      2.62	      6.20	      5.51	-16.09	 3.467e-02	     -2.08	Gaussian	0.000000	0.000000
26	0	  0.033300	  1.007293	     -1.00	   3207.80	   2164.24	      2.15	      1.95	      4.52	      4.10	63.63	 2.172e-02	     -2.08	Gaussian	0.000000	0.000000
27	0	  0.032234	  1.059149	     -1.00	   5365.87	    897.57	      2.36	      2.04	      4.96	      4.29	48.58	 9.381e-03	     -2.08	Gaussian	0.000000	0.000000
28	0	  0.029874	  0.728258	     -1.00	   1884.51	   1754.47	      3.26	      3.00	      6.84	      6.31	80.86	 3.903e-02	     -2.02	Gaussian	0.000000	0.000000
29	0	  0.031500	  1.025092	     -1.00	   1700.26	   2243.65	      2.16	      2.14	      4.54	      4.49	54.45	 7.738e-03	     -2.01	Gaussian	0.000000	0.000000
30	0	  0.030520	  0.594257	     -1.00	    972.75	   2198.32	      3.24	      3.24	      6.81	      6.81	78.04	 3.409e-02	     -1.96	Gaussian	0.000000	0.000000
31	0	  0.028096	  0.486664	     -1.00	   3301.05	   2325.34	      3.75	      3.65	      7.88	      7.68	75.49	 4.813e-02	     -1.94	Gaussian	0.000000	0.000000
32	0	  0.033598	  0.539895	     -1.00	   1208.49	    986.45	      1.80	      1.46	      3.78	      3.07	78.83	 5.988e-02	     -1.92	Gaussian	0.000000	0.000000
33	0	  0.031076	  1.058678	     -1.00	   5086.89	   3257.18	      2.15	      1.88	      4.52	      3.94	61.80	 8.386e-03	     -1.92	Gaussian	0.000000	0.000000
34	0	  0.029366	  0.725264	     -1.00	   2815.35	   3590.21	      3.07	      2.56	      6.45	      5.39	78.37	 3.091e-02	     -1.89	Gaussian	0.000000	0.000000
35	0	  0.031375	  0.433419	     -1.00	    257.67	   1005.66	      1.64	      1.63	      3.44	      3.42	79.05	 4.481e-02	     -1.89	Gaussian	0.000000	0.000000
36	0	  0.027444	  0.536523	     -1.00	   6319.59	   2326.18	      3.72	      3.35	      7.81	      7.05	77.44	 3.904e-02	     -1.87	Gaussian	0.000000	0.000000
37	0	  0.030309	  0.895700	     -1.00	   3349.38	   2131.57	      2.29	      1.93	      4.80	      4.06	-75.86	 6.600e-03	     -1.85	Gaussian	0.000000	0.000000
38	0	  0.030267	  0.699549	     -1.00	   3115.52	   2276.15	      1.55	      1.42	      3.27	      2.98	66.37	 4.954e-02	     -1.84	Gaussian	0.000000	0.000000
39	0	  0.030938	  0.684741	     -1.00	    422.45	    840.60	      2.58	      2.12	      5.43	      4.46	9.48	 9.102e-03	     -1.80	Gaussian	0.000000	0.000000
40	0	  0.030566	  0.509813	     -1.00	   2458.67	    100.13	      1.69	      1.57	      3.55	      3.30	67.24	 4.924e-02	     -1.76	Gaussian	0.000000	0.000000
41	0	  0.031220	  0.829905	     -1.00	    836.54	   2206.86	      2.21	      1.94	      4.64	      4.09	3.64	 8.276e-03	     -1.76	Gaussian	0.000000	0.000000
42	0	  0.024776	  0.444646	     -1.00	   3092.61	   3014.06	      3.94	      2.15	      8.28	      4.51	72.12	 2.530e-02	     -1.75	Gaussian	0.000000	0.000000
