# 2000 stars found using the following parameters:
# sigma=1.00 roundness=0.50 radius=5 relax=0 profile=0 minbeta=1.5 max_stars=2000 layer=0 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Profile	RA	Dec
25	0	  0.029686	  1.067219	     -1.00	   1700.26	   2243.70	      2.80	      2.49	      5.88	      5.22	-79.99	 1.353e-02	     -2.43	Gaussian	0.000000	0.000000
26	0	  0.031397	  0.918510	     -1.00	    257.52	   1005.42	      2.83	      2.83	      5.94	      5.94	83.62	 1.803e-02	     -2.42	Gaussian	0.000000	0.000000
27	0	  0.036674	  1.084762	     -1.00	   2249.87	   3526.21	      2.91	      2.31	      6.11	      4.86	-85.79	 3.271e-02	     -2.42	Gaussian	0.000000	0.000000
28	0	  0.030344	  0.702403	     -1.00	   3068.02	   2116.11	      1.99	      1.79	      4.18	      3.75	-89.80	 6.616e-02	     -2.42	Gaussian	0.000000	0.000000
29	0	  0.029797	  1.047972	     -1.00	    972.67	   2198.34	      2.73	      2.53	      5.73	      5.32	-37.02	 1.327e-02	     -2.41	Gaussian	0.000000	0.000000
30	0	  0.029448	  1.047389	     -1.00	   1884.42	   1754.34	      2.75	      2.41	      5.77	      5.07	-82.68	 1.352e-02	     -2.37	Gaussian	0.000000	0.000000
31	0	  0.030763	  1.045545	     -1.00	   5365.88	    897.59	      2.75	      2.25	      5.79	      4.74	54.53	 1.314e-02	     -2.30	Gaussian	0.000000	0.000000
32	0	  0.024196	  0.733278	     -1.00	   2815.31	   3590.11	      3.99	      2.36	      8.39	      4.95	85.48	 2.995e-02	     -2.30	Gaussian	0.000000	0.000000
33	0	  0.029259	  1.029931	     -1.00	   3115.75	   2276.47	      2.81	      2.22	      5.91	      4.66	-84.53	 1.106e-02	     -2.29	Gaussian	0.000000	0.000000
34	0	  0.031337	  0.883426	     -1.00	   2993.32	   2026.12	      3.49	      2.84	      7.33	      5.97	-88.50	 2.501e-02	     -2.28	Gaussian	0.000000	0.000000
35	0	  0.030215	  0.987782	     -1.00	   3349.39	   2131.57	      2.92	      2.20	      6.14	      4.62	-78.25	 1.085e-02	     -2.28	Gaussian	0.000000	0.000000
36	0	  0.029393	  1.034528	     -1.00	   3300.83	   2325.25	      2.74	      2.19	      5.76	      4.60	-86.11	 8.272e-03	     -2.26	Gaussian	0.000000	0.000000
37	0	  0.030195	  0.981074	     -1.00	   2458.54	     99.56	      2.58	      2.29	      5.42	      4.82	59.92	 1.178e-02	     -2.20	Gaussian	0.000000	0.000000
38	0	  0.029192	  0.981231	     -1.00	   3325.90	   2205.50	      2.36	      2.36	      4.96	      4.96	21.59	 1.297e-02	     -2.14	Gaussian	0.000000	0.000000
39	0	  0.028868	  1.007266	     -1.00	   3109.57	   1001.84	      2.51	      2.16	      5.27	      4.54	-83.48	 7.845e-03	     -2.14	Gaussian	0.000000	0.000000
40	0	  0.029332	  0.997953	     -1.00	   3094.51	   2117.97	      2.29	      2.29	      4.82	      4.82	15.98	 1.082e-02	     -2.11	Gaussian	0.000000	0.000000
41	0	  0.030730	  0.880897	     -1.00	   1208.46	    986.13	      2.83	      2.83	      5.95	      5.95	71.05	 2.537e-02	     -2.09	Gaussian	0.000000	0.000000
42	0	  0.029009	  0.949584	     -1.00	   3419.21	   2364.67	      2.28	      2.28	      4.80	      4.80	3.88	 1.097e-02	     -2.05	Gaussian	0.000000	0.000000
43	0	  0.029744	  0.756338	     -1.00	   2249.18	    840.21	      3.36	      3.24	      7.06	      6.81	4.36	 4.389e-02	     -2.05	Gaussian	0.000000	0.000000
44	0	  0.028899	  0.925050	     -1.00	   3335.15	   1974.46	      2.28	      2.28	      4.79	      4.79	-3.72	 1.103e-02	     -2.02	Gaussian	0.000000	0.000000
45	0	  0.030539	  0.902551	     -1.00	   3238.98	   3381.43	      1.73	      1.26	      3.63	      2.65	19.24	 5.222e-02	     -2.02	Gaussian	0.000000	0.000000
46	0	  0.030276	  0.917358	     -1.00	   2360.51	    100.48	      2.41	      2.13	      5.07	      4.49	47.18	 8.062e-03	     -2.01	Gaussian	0.000000	0.000000
47	0	  0.028942	  0.949180	     -1.00	   3352.02	   2253.95	      2.42	      1.97	      5.08	      4.13	-84.62	 6.655e-03	     -1.97	Gaussian	0.000000	0.000000
48	0	  0.035944	  0.933875	     -1.00	   3282.11	   2290.76	      2.42	      1.93	      5.10	      4.07	-85.67	 3.218e-02	     -1.94	Gaussian	0.000000	0.000000
49	0	  0.028640	  0.833020	     -1.00	   3014.27	   1886.59	      2.59	      1.98	      5.45	      4.16	-71.47	 5.588e-03	     -1.92	Gaussian	0.000000	0.000000
50	0	  0.031039	  0.651485	     -1.00	   6319.58	   2326.33	      2.18	      2.01	      4.58	      4.22	70.32	 3.153e-02	     -1.91	Gaussian	0.000000	0.000000
51	0	  0.028994	  0.582285	     -1.00	    422.46	    840.66	      2.61	      2.61	      5.49	      5.49	75.59	 1.090e-02	     -1.85	Gaussian	0.000000	0.000000
52	0	  0.028646	  0.875819	     -1.00	   3111.00	   1932.95	      2.34	      1.92	      4.91	      4.04	-83.96	 6.358e-03	     -1.84	Gaussian	0.000000	0.000000
53	0	  0.028574	  0.857695	     -1.00	   3564.12	   1938.73	      2.37	      1.93	      4.99	      4.06	-84.77	 6.157e-03	     -1.84	Gaussian	0.000000	0.000000
54	0	  0.028424	  0.688250	     -1.00	    836.58	   2206.87	      2.51	      2.21	      5.27	      4.64	-15.63	 5.831e-03	     -1.81	Gaussian	0.000000	0.000000
55	0	  0.028101	  0.501745	     -1.00	   2361.56	   2646.10	      3.77	      3.75	      7.92	      7.88	78.95	 4.400e-02	     -1.81	Gaussian	0.000000	0.000000
56	0	  0.029404	  0.879290	     -1.00	   5086.85	   3257.09	      2.33	      1.80	      4.90	      3.78	64.74	 6.528e-03	     -1.78	Gaussian	0.000000	0.000000
57	0	  0.029203	  0.710362	     -1.00	   5667.05	   3726.39	      2.01	      1.93	      4.23	      4.06	84.27	 1.976e-02	     -1.76	Gaussian	0.000000	0.000000
58	0	  0.028446	  0.504450	     -1.00	    497.48	    502.59	      2.64	      2.64	      5.55	      5.55	71.57	 9.826e-03	     -1.75	Gaussian	0.000000	0.000000
59	0	  0.027657	  0.498136	     -1.00	   3119.47	   2187.03	      3.41	      3.31	      7.16	      6.97	84.25	 2.897e-02	     -1.74	Gaussian	0.000000	0.000000
60	0	  0.029249	  0.775460	     -1.00	   2162.63	   2761.35	      1.88	      1.67	      3.96	      3.51	78.08	 1.873e-02	     -1.73	Gaussian	0.000000	0.000000
61	0	  0.029201	  0.678282	     -1.00	   3255.22	   1834.73	      1.56	      1.56	      3.28	      3.28	-89.64	 4.097e-02	     -1.72	Gaussian	0.000000	0.000000
62	0	  0.029365	  0.747453	     -1.00	   4264.33	   2953.31	      2.15	      1.86	      4.52	      3.91	73.29	 1.030e-02	     -1.70	Gaussian	0.000000	0.000000
63	0	  0.028349	  0.455761	     -1.00	   3020.55	     78.92	      3.31	      3.30	      6.95	      6.93	16.40	 3.373e-02	     -1.70	Gaussian	0.000000	0.000000
64	0	  0.028020	  0.691046	     -1.00	   3386.47	   2337.86	      2.40	      1.98	      5.05	      4.16	-84.43	 4.830e-03	     -1.69	Gaussian	0.000000	0.000000
65	0	  0.030670	  0.719440	     -1.00	   3146.42	   2142.72	      2.34	      1.93	      4.92	      4.05	-84.27	 9.698e-03	     -1.68	Gaussian	0.000000	0.000000
66	0	  0.025509	  0.443561	     -1.00	   5963.83	   2596.32	      3.53	      2.20	      7.42	      4.62	47.28	 1.401e-02	     -1.66	Gaussian	0.000000	0.000000
67	0	  0.030698	  0.615649	     -1.00	   3224.52	   2449.79	      1.84	      1.62	      3.86	      3.40	78.62	 3.613e-02	     -1.66	Gaussian	0.000000	0.000000
68	0	  0.027637	  0.589365	     -1.00	   1718.12	   3939.13	      2.61	      2.03	      5.49	      4.26	-71.12	 4.079e-03	     -1.64	Gaussian	0.000000	0.000000
69	0	  0.027582	  0.516788	     -1.00	   1069.84	   3545.31	      2.70	      2.18	      5.68	      4.59	-54.76	 4.103e-03	     -1.62	Gaussian	0.000000	0.000000
70	0	  0.028481	  0.687824	     -1.00	   1929.96	    455.39	      2.20	      2.00	      4.63	      4.20	38.00	 5.923e-03	     -1.62	Gaussian	0.000000	0.000000
71	0	  0.025963	  0.314071	     -1.00	   2732.71	   2466.97	      4.24	      3.27	      8.92	      6.87	27.74	 2.617e-02	     -1.61	Gaussian	0.000000	0.000000
72	0	  0.028121	  0.609439	     -1.00	   3574.71	   2630.78	      2.43	      1.99	      5.10	      4.18	-89.32	 4.599e-03	     -1.59	Gaussian	0.000000	0.000000
73	0	  0.025606	  0.377947	     -1.00	   6330.10	   1829.75	      3.87	      2.34	      8.13	      4.92	35.83	 1.465e-02	     -1.59	Gaussian	0.000000	0.000000
74	0	  0.027647	  0.582436	     -1.00	   5536.29	   3721.64	      2.70	      1.86	      5.67	      3.91	59.60	 4.865e-03	     -1.59	Gaussian	0.000000	0.000000
75	0	  0.032279	  0.614669	     -1.00	   3051.48	   2068.83	      1.58	      1.41	      3.32	      2.96	78.34	 4.271e-02	     -1.58	Gaussian	0.000000	0.000000
76	0	  0.026950	  0.331003	     -1.00	   4843.03	   2505.28	      3.49	      3.45	      7.34	      7.26	74.57	 2.695e-02	     -1.57	Gaussian	0.000000	0.000000
77	0	  0.028219	  0.675996	     -1.00	   2740.53	   1625.09	      2.23	      1.90	      4.69	      3.99	-84.86	 4.652e-03	     -1.57	Gaussian	0.000000	0.000000
78	0	  0.023671	  0.229730	     -1.00	   3205.75	   2417.13	      5.00	      2.57	     10.50	      5.39	-81.78	 1.991e-02	     -1.55	Gaussian	0.000000	0.000000
79	0	  0.028060	  0.379669	     -1.00	     69.33	   2036.56	      2.72	      2.72	      5.71	      5.71	-81.20	 7.268e-03	     -1.55	Gaussian	0.000000	0.000000
80	0	  0.028180	  0.628427	     -1.00	   2273.71	     83.14	      2.25	      1.98	      4.73	      4.15	39.54	 5.439e-03	     -1.55	Gaussian	0.000000	0.000000
81	0	  0.028524	  0.496804	     -1.00	    835.48	   2876.62	      2.50	      2.22	      5.26	      4.66	-22.56	 4.875e-03	     -1.54	Gaussian	0.000000	0.000000
82	0	  0.028331	  0.671080	     -1.00	   3177.63	   1097.96	      2.03	      2.03	      4.26	      4.26	13.85	 5.804e-03	     -1.54	Gaussian	0.000000	0.000000
83	0	  0.028167	  0.595657	     -1.00	   3130.43	   2001.64	      2.37	      1.95	      4.97	      4.10	-82.48	 4.499e-03	     -1.54	Gaussian	0.000000	0.000000
84	0	  0.026473	  0.401110	     -1.00	   5902.73	    194.18	      3.27	      2.32	      6.87	      4.87	41.73	 8.619e-03	     -1.51	Gaussian	0.000000	0.000000
85	0	  0.028016	  0.592804	     -1.00	   1600.09	   2298.75	      2.22	      2.01	      4.66	      4.23	-79.43	 4.263e-03	     -1.50	Gaussian	0.000000	0.000000
86	0	  0.027715	  0.563253	     -1.00	   4200.21	    747.23	      2.54	      2.12	      5.34	      4.46	70.46	 8.868e-03	     -1.50	Gaussian	0.000000	0.000000
87	0	  0.027866	  0.574860	     -1.00	   2260.51	   2752.59	      2.35	      1.94	      4.93	      4.08	-85.81	 3.901e-03	     -1.50	Gaussian	0.000000	0.000000
88	0	  0.028074	  0.625898	     -1.00	   1799.94	   1332.46	      2.04	      2.04	      4.30	      4.30	35.66	 4.807e-03	     -1.50	Gaussian	0.000000	0.000000
89	0	  0.027932	  0.541649	     -1.00	   2761.32	   2242.53	      2.28	      2.09	      4.80	      4.40	87.73	 3.891e-03	     -1.49	Gaussian	0.000000	0.000000
90	0	  0.024957	  0.294169	     -1.00	   3067.41	   2572.14	      3.91	      2.42	      8.23	      5.09	89.00	 1.302e-02	     -1.48	Gaussian	0.000000	0.000000
91	0	  0.026810	  0.296291	     -1.00	    133.64	   3331.41	      3.34	      2.58	      7.01	      5.43	-33.59	 3.992e-03	     -1.48	Gaussian	0.000000	0.000000
92	0	  0.028209	  0.566762	     -1.00	   3376.92	   2083.59	      2.56	      2.28	      5.38	      4.79	-10.35	 1.467e-02	     -1.47	Gaussian	0.000000	0.000000
93	0	  0.027041	  0.369166	     -1.00	   3628.49	   2131.13	      3.37	      3.30	      7.09	      6.93	0.45	 2.148e-02	     -1.46	Gaussian	0.000000	0.000000
94	0	  0.026275	  0.288785	     -1.00	   3500.98	   3048.43	      4.87	      2.50	     10.23	      5.26	5.25	 2.789e-02	     -1.45	Gaussian	0.000000	0.000000
95	0	  0.027541	  0.389641	     -1.00	   1670.21	   2182.13	      3.77	      3.68	      7.92	      7.73	-0.80	 3.252e-02	     -1.44	Gaussian	0.000000	0.000000
96	0	  0.023671	  0.235107	     -1.00	   2516.00	   3773.70	      4.17	      2.59	      8.76	      5.44	-5.48	 1.683e-02	     -1.44	Gaussian	0.000000	0.000000
97	0	  0.027857	  0.589816	     -1.00	   2688.83	    950.75	      2.15	      1.92	      4.52	      4.03	-89.85	 4.284e-03	     -1.44	Gaussian	0.000000	0.000000
98	0	  0.027066	  0.416121	     -1.00	   1683.72	   4182.57	      2.75	      2.12	      5.79	      4.46	-67.89	 3.372e-03	     -1.44	Gaussian	0.000000	0.000000
99	0	  0.027721	  0.480167	     -1.00	    994.54	   1691.04	      2.25	      2.25	      4.72	      4.72	87.76	 4.902e-03	     -1.43	Gaussian	0.000000	0.000000
100	0	  0.027892	  0.527308	     -1.00	   2980.88	   2169.41	      2.12	      2.12	      4.45	      4.45	-5.02	 6.453e-03	     -1.42	Gaussian	0.000000	0.000000
101	0	  0.026451	  0.363617	     -1.00	   5606.20	   1431.15	      3.05	      2.53	      6.41	      5.32	69.59	 1.251e-02	     -1.41	Gaussian	0.000000	0.000000
102	0	  0.027712	  0.535659	     -1.00	   2843.37	   1558.67	      2.29	      1.91	      4.80	      4.02	-82.34	 3.828e-03	     -1.41	Gaussian	0.000000	0.000000
103	0	  0.027424	  0.508761	     -1.00	   3375.38	   1737.88	      2.35	      1.94	      4.95	      4.08	-83.41	 3.476e-03	     -1.40	Gaussian	0.000000	0.000000
104	0	  0.026912	  0.337500	     -1.00	   1487.19	   3979.17	      3.21	      3.15	      6.74	      6.63	-14.73	 1.274e-02	     -1.40	Gaussian	0.000000	0.000000
105	0	  0.028984	  0.496078	     -1.00	   3341.58	   2120.52	      2.37	      1.95	      4.99	      4.10	-83.49	 5.010e-03	     -1.39	Gaussian	0.000000	0.000000
106	0	  0.027492	  0.519897	     -1.00	   5112.00	   2214.81	      2.32	      1.90	      4.87	      4.00	71.09	 4.191e-03	     -1.39	Gaussian	0.000000	0.000000
107	0	  0.027029	  0.394974	     -1.00	    686.99	   1579.74	      2.60	      2.21	      5.46	      4.65	-1.14	 3.550e-03	     -1.38	Gaussian	0.000000	0.000000
108	0	  0.027294	  0.490523	     -1.00	   3846.97	   2050.99	      2.39	      1.93	      5.03	      4.06	-89.05	 3.511e-03	     -1.38	Gaussian	0.000000	0.000000
109	0	  0.027476	  0.449012	     -1.00	   3812.46	   2060.34	      2.44	      2.03	      5.14	      4.27	-89.23	 3.432e-03	     -1.37	Gaussian	0.000000	0.000000
110	0	  0.027802	  0.468641	     -1.00	   1453.90	    806.78	      2.34	      2.02	      4.92	      4.26	27.01	 4.179e-03	     -1.37	Gaussian	0.000000	0.000000
111	0	  0.027432	  0.362749	     -1.00	   3530.29	   1393.38	      3.22	      2.34	      6.77	      4.91	2.98	 1.812e-02	     -1.36	Gaussian	0.000000	0.000000
112	0	  0.026751	  0.368914	     -1.00	    796.82	   3004.86	      2.66	      2.22	      5.59	      4.67	-39.52	 3.113e-03	     -1.35	Gaussian	0.000000	0.000000
113	0	  0.027635	  0.567211	     -1.00	   4518.90	    801.61	      2.07	      1.85	      4.36	      3.90	71.28	 4.113e-03	     -1.35	Gaussian	0.000000	0.000000
114	0	  0.027404	  0.356686	     -1.00	   4399.12	   1433.38	      3.03	      2.31	      6.36	      4.85	4.13	 1.495e-02	     -1.35	Gaussian	0.000000	0.000000
115	0	  0.026775	  0.308986	     -1.00	    538.65	    312.15	      2.63	      2.63	      5.54	      5.54	74.49	 6.415e-03	     -1.34	Gaussian	0.000000	0.000000
116	0	  0.026298	  0.317621	     -1.00	   3362.73	   3726.31	      4.09	      2.29	      8.60	      4.81	53.80	 1.835e-02	     -1.34	Gaussian	0.000000	0.000000
117	0	  0.026752	  0.390820	     -1.00	    805.02	   1801.33	      2.49	      2.19	      5.24	      4.60	-9.81	 3.278e-03	     -1.33	Gaussian	0.000000	0.000000
118	0	  0.027467	  0.505617	     -1.00	   2030.49	   1328.05	      2.16	      1.95	      4.54	      4.10	-86.51	 3.535e-03	     -1.33	Gaussian	0.000000	0.000000
119	0	  0.028545	  0.496470	     -1.00	   2339.32	    205.64	      2.19	      1.95	      4.61	      4.11	53.63	 3.892e-03	     -1.33	Gaussian	0.000000	0.000000
120	0	  0.027068	  0.448615	     -1.00	   5374.42	   2333.24	      2.54	      2.14	      5.35	      4.50	58.66	 6.001e-03	     -1.33	Gaussian	0.000000	0.000000
121	0	  0.026130	  0.248023	     -1.00	   3762.98	    554.34	      3.64	      3.63	      7.65	      7.62	74.51	 2.166e-02	     -1.33	Gaussian	0.000000	0.000000
122	0	  0.027216	  0.409938	     -1.00	   1272.56	   3147.26	      2.44	      2.12	      5.13	      4.46	-59.19	 3.089e-03	     -1.33	Gaussian	0.000000	0.000000
123	0	  0.027479	  0.464035	     -1.00	   2142.16	     15.02	      2.30	      1.99	      4.84	      4.18	37.49	 4.110e-03	     -1.33	Gaussian	0.000000	0.000000
124	0	  0.027255	  0.428305	     -1.00	   5140.22	   1495.10	      1.87	      1.63	      3.94	      3.43	57.66	 1.337e-02	     -1.31	Gaussian	0.000000	0.000000
125	0	  0.027802	  0.446788	     -1.00	   3261.62	   2042.42	      2.35	      1.94	      4.95	      4.09	-82.71	 3.444e-03	     -1.30	Gaussian	0.000000	0.000000
126	0	  0.026637	  0.343414	     -1.00	    759.54	   2879.92	      2.65	      2.24	      5.58	      4.71	-35.25	 2.881e-03	     -1.30	Gaussian	0.000000	0.000000
127	0	  0.027436	  0.488571	     -1.00	   2481.60	   1579.76	      2.18	      1.92	      4.57	      4.03	-85.90	 3.025e-03	     -1.30	Gaussian	0.000000	0.000000
128	0	  0.026959	  0.393310	     -1.00	   1450.42	    309.01	      2.57	      2.01	      5.39	      4.23	23.74	 3.818e-03	     -1.30	Gaussian	0.000000	0.000000
129	0	  0.030617	  0.228161	     -1.00	   3150.92	   2003.98	      1.82	      1.81	      3.82	      3.80	20.06	 3.183e-02	     -1.28	Gaussian	0.000000	0.000000
130	0	  0.026526	  0.220124	     -1.00	   3572.53	   1922.98	      3.88	      3.85	      8.15	      8.10	54.60	 2.158e-02	     -1.28	Gaussian	0.000000	0.000000
131	0	  0.027289	  0.463016	     -1.00	   5117.14	   1268.49	      2.00	      1.79	      4.21	      3.76	54.84	 6.829e-03	     -1.28	Gaussian	0.000000	0.000000
132	0	  0.027551	  0.365489	     -1.00	   2349.32	   2836.23	      3.23	      2.43	      6.78	      5.11	65.06	 1.489e-02	     -1.27	Gaussian	0.000000	0.000000
133	0	  0.026451	  0.274214	     -1.00	    464.16	    253.67	      3.13	      2.27	      6.59	      4.78	5.10	 3.431e-03	     -1.27	Gaussian	0.000000	0.000000
134	0	  0.027289	  0.441356	     -1.00	   2036.14	    431.96	      2.19	      2.02	      4.60	      4.25	51.63	 3.775e-03	     -1.27	Gaussian	0.000000	0.000000
135	0	  0.027932	  0.381640	     -1.00	    973.80	    902.38	      2.08	      2.07	      4.37	      4.36	-54.50	 7.403e-03	     -1.26	Gaussian	0.000000	0.000000
136	0	  0.026561	  0.329883	     -1.00	    648.45	   1562.94	      2.42	      2.42	      5.09	      5.09	-83.95	 4.163e-03	     -1.26	Gaussian	0.000000	0.000000
137	0	  0.027808	  0.208500	     -1.00	   3093.20	   3014.05	      1.69	      1.69	      3.56	      3.55	28.02	 3.187e-02	     -1.25	Gaussian	0.000000	0.000000
138	0	  0.026571	  0.258329	     -1.00	   1684.53	   3341.97	      3.47	      3.42	      7.29	      7.18	76.32	 1.810e-02	     -1.25	Gaussian	0.000000	0.000000
139	0	  0.026727	  0.200778	     -1.00	   1398.08	   1510.26	      3.88	      3.32	      8.16	      6.98	64.91	 1.845e-02	     -1.25	Gaussian	0.000000	0.000000
140	0	  0.026442	  0.292658	     -1.00	    603.66	    613.82	      2.90	      2.25	      6.09	      4.73	7.97	 3.416e-03	     -1.25	Gaussian	0.000000	0.000000
141	0	  0.027447	  0.420371	     -1.00	   3196.32	   2059.74	      2.35	      1.93	      4.94	      4.06	-84.47	 3.238e-03	     -1.25	Gaussian	0.000000	0.000000
142	0	  0.027190	  0.414531	     -1.00	   3050.63	   3993.50	      2.41	      1.91	      5.06	      4.01	82.64	 2.796e-03	     -1.25	Gaussian	0.000000	0.000000
143	0	  0.026436	  0.278010	     -1.00	    231.56	   1640.95	      2.98	      2.29	      6.27	      4.82	-6.84	 3.260e-03	     -1.25	Gaussian	0.000000	0.000000
144	0	  0.027067	  0.422741	     -1.00	   2206.66	    342.12	      2.22	      2.02	      4.67	      4.25	48.47	 3.241e-03	     -1.25	Gaussian	0.000000	0.000000
145	0	  0.025440	  0.300194	     -1.00	   5496.16	   1551.45	      3.18	      2.08	      6.69	      4.38	47.34	 8.268e-03	     -1.24	Gaussian	0.000000	0.000000
146	0	  0.027436	  0.418633	     -1.00	   3098.88	   2386.38	      2.12	      2.12	      4.46	      4.46	11.13	 5.090e-03	     -1.24	Gaussian	0.000000	0.000000
147	0	  0.027219	  0.426485	     -1.00	   2880.66	   1413.77	      2.28	      1.94	      4.80	      4.07	-83.09	 2.935e-03	     -1.24	Gaussian	0.000000	0.000000
148	0	  0.027188	  0.412401	     -1.00	   3365.06	   1010.50	      2.35	      2.26	      4.94	      4.75	8.18	 7.736e-03	     -1.23	Gaussian	0.000000	0.000000
149	0	  0.026678	  0.348204	     -1.00	   2737.76	   3528.51	      2.55	      2.07	      5.37	      4.35	74.13	 2.408e-03	     -1.22	Gaussian	0.000000	0.000000
150	0	  0.028223	  0.403062	     -1.00	   4477.67	    794.47	      1.73	      1.60	      3.63	      3.37	48.90	 1.638e-02	     -1.22	Gaussian	0.000000	0.000000
151	0	  0.028140	  0.445754	     -1.00	   3240.16	   2081.50	      2.00	      1.99	      4.20	      4.18	-9.10	 5.937e-03	     -1.22	Gaussian	0.000000	0.000000
152	0	  0.026992	  0.442861	     -1.00	   4379.81	     86.83	      2.16	      1.90	      4.54	      4.00	58.20	 3.590e-03	     -1.22	Gaussian	0.000000	0.000000
153	0	  0.027009	  0.163241	     -1.00	    382.76	    480.12	      2.24	      2.21	      4.71	      4.64	83.46	 1.636e-02	     -1.21	Gaussian	0.000000	0.000000
154	0	  0.026953	  0.420354	     -1.00	   5306.71	    958.83	      2.24	      1.90	      4.71	      4.00	52.21	 3.440e-03	     -1.20	Gaussian	0.000000	0.000000
