# 2000 stars found using the following parameters:
# sigma=1.00 roundness=0.50 radius=5 relax=0 profile=0 minbeta=1.5 max_stars=2000 layer=0 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Profile	RA	Dec
1	0	  0.043137	  1.462412	     -1.00	   2345.80	    228.60	      5.89	      4.96	     12.39	     10.42	42.16	 2.628e-02	     -4.15	Gaussian	0.000000	0.000000
2	0	  0.034788	  1.860225	     -1.00	   3295.47	   2025.44	      3.92	      3.49	      8.25	      7.33	-86.91	 1.352e-02	     -3.50	Gaussian	0.000000	0.000000
3	0	  0.033098	  1.128402	     -1.00	   3325.25	   2371.62	      4.25	      3.73	      8.94	      7.83	84.34	 2.689e-02	     -3.32	Gaussian	0.000000	0.000000
4	0	  0.031872	  1.135076	     -1.00	   3246.05	    917.03	      4.14	      3.80	      8.71	      7.98	83.35	 2.625e-02	     -3.32	Gaussian	0.000000	0.000000
5	0	  0.030297	  1.139501	     -1.00	   3410.97	   2266.12	      4.23	      3.63	      8.89	      7.63	-87.31	 2.545e-02	     -3.30	Gaussian	0.000000	0.000000
6	0	  0.030565	  1.141513	     -1.00	   3210.72	   2099.85	      4.18	      3.63	      8.79	      7.63	-84.73	 2.463e-02	     -3.29	Gaussian	0.000000	0.000000
7	0	  0.034422	  1.129138	     -1.00	   1189.84	   3061.67	      4.05	      3.78	      8.52	      7.95	-35.41	 2.700e-02	     -3.29	Gaussian	0.000000	0.000000
8	0	  0.034042	  1.749273	     -1.00	   3072.40	   1916.74	      3.57	      3.04	      7.50	      6.39	-83.02	 1.173e-02	     -3.21	Gaussian	0.000000	0.000000
9	0	  0.032440	  1.108351	     -1.00	    279.17	   3784.97	      4.19	      3.42	      8.80	      7.20	-38.29	 2.242e-02	     -3.20	Gaussian	0.000000	0.000000
10	0	  0.035084	  1.422362	     -1.00	    186.20	   3043.58	      3.76	      3.12	      7.89	      6.56	-23.73	 1.412e-02	     -3.17	Gaussian	0.000000	0.000000
11	0	  0.032608	  1.109451	     -1.00	   2019.86	   3347.50	      3.45	      3.22	      7.26	      6.77	-82.85	 1.860e-02	     -2.94	Gaussian	0.000000	0.000000
12	0	  0.030148	  1.115655	     -1.00	   2872.64	   2916.95	      3.68	      2.99	      7.74	      6.29	-88.17	 2.004e-02	     -2.94	Gaussian	0.000000	0.000000
13	0	  0.031056	  1.116657	     -1.00	   2059.70	   1580.96	      3.53	      3.02	      7.41	      6.35	-86.34	 2.298e-02	     -2.90	Gaussian	0.000000	0.000000
14	0	  0.030011	  1.110245	     -1.00	   3533.73	   2581.00	      3.64	      2.94	      7.64	      6.18	-86.05	 2.116e-02	     -2.90	Gaussian	0.000000	0.000000
15	0	  0.031822	  1.108561	     -1.00	   2704.07	   3418.65	      3.36	      2.75	      7.06	      5.79	-89.94	 1.746e-02	     -2.75	Gaussian	0.000000	0.000000
16	0	  0.030249	  1.106590	     -1.00	   2883.99	   2078.47	      3.35	      2.74	      7.04	      5.75	-83.12	 1.516e-02	     -2.74	Gaussian	0.000000	0.000000
17	0	  0.029754	  1.026138	     -1.00	   2385.73	   2345.73	      3.53	      2.63	      7.42	      5.52	74.68	 1.605e-02	     -2.68	Gaussian	0.000000	0.000000
18	0	  0.033494	  1.066259	     -1.00	   3543.76	      7.94	      3.24	      2.73	      6.82	      5.73	50.80	 2.016e-02	     -2.67	Gaussian	0.000000	0.000000
19	0	  0.029768	  1.054845	     -1.00	   3365.59	   2022.02	      3.31	      2.65	      6.95	      5.57	-82.79	 1.462e-02	     -2.65	Gaussian	0.000000	0.000000
20	0	  0.029772	  1.070897	     -1.00	   3207.78	   2164.29	      3.17	      2.54	      6.66	      5.35	-83.86	 1.317e-02	     -2.58	Gaussian	0.000000	0.000000
21	0	  0.032509	  1.010010	     -1.00	    349.65	   2898.01	      3.19	      2.61	      6.70	      5.49	-25.47	 1.041e-02	     -2.56	Gaussian	0.000000	0.000000
22	0	  0.030187	  1.066463	     -1.00	   1776.63	   1753.21	      2.94	      2.63	      6.18	      5.53	-83.59	 1.399e-02	     -2.54	Gaussian	0.000000	0.000000
23	0	  0.029845	  1.062698	     -1.00	   2276.83	   2523.95	      3.02	      2.43	      6.35	      5.11	-85.98	 9.691e-03	     -2.48	Gaussian	0.000000	0.000000
24	0	  0.029744	  1.041801	     -1.00	   3428.63	   3274.28	      3.07	      2.44	      6.45	      5.13	87.89	 1.258e-02	     -2.48	Gaussian	0.000000	0.000000
